Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Barbados,BRB,"GDP per capita, PPP (current international $)",9579.67602,9482.191997,9112.075232,9366.740084,9721.580356,10084.89136,10634.17167,11282.23115,11784.11657,11944.81236,12704.9357,12630.66493,12887.73195,13368.4474,13873.84569,14815.95644,16098.0945,16820.41363,17190.94622,16374.68983,16127.81138,16304.38242,15310.006,15334.72037,15175.49564,15510.82429,15952.07031,15788.82052,16044.7278,16286.97952
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",55913.65093,57945.70001,60345.08765,60249.59039,61767.23408,64188.11875,65587.41174,64190.98622,63097.46178,64533.30594,66439.33614,68350.53341,70716.75937,72755.733,73808.52672,75213.75511,79772.6751,81013.42217,80036.11316,78297.70718,80277.54569,83935.01251,88247.72774,83787.06062,81373.01807,62541.68036,56296.01977,60995.68111,61813.89516,64673.29857
Bhutan,BTN,"GDP per capita, PPP (current international $)",1507.333638,1540.839937,1648.819952,1727.618376,1854.312995,2016.796819,2140.611054,2251.935694,2357.821978,2522.474162,2696.346456,2923.130991,3229.545528,3480.089714,3723.426756,4056.183813,4412.469786,5302.710291,5608.477759,5972.923401,6693.506149,7295.842805,7912.133367,7989.655431,8666.419567,9500.768189,10457.2018,11142.39995,11613.16247,
Botswana,BWA,"GDP per capita, PPP (current international $)",5682.074439,6124.063285,6270.321378,6375.624903,6583.556511,7022.209897,7388.845352,7953.384279,7897.108925,8597.678389,8784.192313,8830.924757,9347.827916,9790.967328,10144.54499,10733.22389,11742.52462,12780.63707,13552.61767,12366.54007,13352.30022,14252.71293,13590.51537,14707.7017,16300.83711,15547.17588,17260.26359,17253.23161,18050.25374,18502.81822
Central African Republic,CAF,"GDP per capita, PPP (current international $)",635.4388309,637.0081662,593.0389087,591.7454743,616.0244465,655.8897651,624.5966732,652.4350725,674.2806721,692.204671,674.4397401,704.2221645,725.6150247,684.9566262,730.7484539,745.5728631,789.210792,831.6077915,849.941448,916.1872831,958.9204484,1012.658089,1102.026532,738.4753903,720.3234642,787.0130816,851.0719211,912.8020523,955.1280615,984.0280497
Canada,CAN,"GDP per capita, PPP (current international $)",20150.78799,20145.92547,20550.63354,21363.63348,22555.34238,23403.48152,23963.9676,25167.31015,26220.44316,27745.80655,29265.72813,30107.87884,30853.20132,32219.42875,33795.6837,36211.0846,37995.0048,39451.31953,40275.9899,38794.93072,40019.2054,41569.44962,42290.96541,44298.57873,45753.75055,44671.44068,46480.46536,48633.82978,50077.79624,51341.70517
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",7087.465405,6644.204073,6676.416456,6947.477695,7384.188426,7966.227606,8369.205914,8686.44581,9079.737028,9378.917159,10003.89902,10786.28642,11611.06458,12306.55905,13450.80894,14288.16578,15881.33739,17717.75724,19650.63427,19689.31173,20750.03637,22153.15055,22972.82978,23970.93227,24984.9667,26091.07345,27753.14213,29927.55186,31739.72567,34136.1861
Switzerland,CHE,"GDP per capita, PPP (current international $)",27586.76073,27907.50625,28218.17492,28588.80602,29335.25364,29893.96157,30526.43853,31805.13311,32918.50202,33814.07929,35763.01086,36778.37465,37718.30413,37713.96138,39170.18109,40572.26318,45098.80792,49742.72269,52584.73495,51808.24729,53107.38549,56183.83259,57849.58399,60108.51635,61902.16241,63938.97998,65720.14653,67139.04992,69357.48606,70989.25813
Channel Islands,CHI,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",4511.169978,4952.538482,5622.777359,6119.380195,6568.780825,7351.828861,8011.571096,8637.330617,8995.76512,8977.117498,9553.566523,9972.651095,10333.06366,10841.32382,11812.63497,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003,22710.01706,23663.88529,24765.23459,25154.99282
China,CHN,"GDP per capita, PPP (current international $)",982.3360582,1094.901246,1263.473584,1455.938928,1662.224051,1862.547933,2063.219224,2269.189052,2450.94996,2653.897815,2920.515458,3210.083335,3534.83387,3937.209021,4425.661071,5053.756155,5836.277971,6810.290548,7574.125356,8307.823409,9253.758638,10299.87111,11197.5979,11923.75202,12549.77174,12978.76857,13572.62073,14344.4204,15602.94147,16784.65935
